business_id,Name,Type,Stars ,City,Address
b5OBIHUqtJNsOCZpwSpUWQ,Burger King,Burgers;Fast Food;Restaurants,1,Chandler,"1945 S Alma School Rd
Chandler, AZ 85286"
fOrmUQoNIhxtu_WLKx7WQg,McDonald's,Burgers;Fast Food;Restaurants,1,Mesa,"411 N Val Vista Dr
Mesa, AZ 85213"
YkLnMTOf8XsqbYS7_qPNsQ,McDonald's,Burgers;Fast Food;Restaurants,1,Gilbert,"1945 E Baseline Rd
Gilbert, AZ 85233"
pA0Z8FbnfsoRmHe1ULqHeQ,McDonald's,Burgers;Fast Food;Restaurants,1,Tempe,"1429 W Baseline Rd
Tempe, AZ 85283"
1TJItj9VfrCeh4TM_SKQZg,McDonald's,Burgers;Fast Food;Restaurants,1,Goodyear,"1100 N Estrella Pkwy
Goodyear, AZ 85338"
cCStad4wX3ADPbz5AHCn9g,KFC,Fast Food;Chicken Wings;Restaurants,1,Madison,"604 Cottage Grove Rd
Eastmorland
Madison, WI 53716"
YxqUBsKvkPbc1LSiV-Y7tA,Kentucky Fried Chicken,Fast Food;Chicken Wings;Restaurants,1,Maricopa,"21566 N John Wayne Pkwy
Maricopa, AZ 85239"
Kq9c_9eam0vOvu7xfMnKIg,Pick Up Stixs,Fast Food;Chinese;Restaurants,1,Las Vegas,"3850 S Las Vegas Blvd
The Strip
Las Vegas, NV 89109"
x-YyGmE9tIXAUdg_4Py5KA,Pizza Hut,Fast Food;Pizza;Restaurants,1,Phoenix,"5233 S Central Ave
Phoenix, AZ 85040"
unMqU0OrlniCOKZIoQHb0A,Kfc,Fast Food;Restaurants,1,Sun Prairie,"1070 Emerald Ter
Sun Prairie, WI 53590"
QB64-PgfEUzbrOL50bJ0Bw,Wendy's,Fast Food;Restaurants,1,Madison,"3910 E Washington Ave
Westchester Gardens
Madison, WI 53704"
8NbZswmpIyWWHhpWqThQQQ,Sonic,Fast Food;Restaurants,1,Mesa,"1260 S Val Vista Dr
Mesa, AZ 85204"
aR3oAmXq7aFPH_zFF5Df0A,McDonald's,Fast Food;Restaurants,1,North Las Vegas,"3229 Losee Rd
North Las Vegas, NV 89030"
idvjjh3yCDu7Hupzl89iQw,Wienerschnitzel,Fast Food;Restaurants,1,Las Vegas,"4001 W Sahara Ave
Westside
Las Vegas, NV 89102"
RR7nf12D8cOkNi6HQAQbBA,McDonald's,Fast Food;Restaurants,1,Las Vegas,"5811 E Charleston Blvd
Sunrise
Las Vegas, NV 89142"
iOdaFYr_V6SKEKzB2fE92Q,Sonic Drive-In,American (Traditional);Fast Food;Restaurants,1.5,Glendale,"6501 W Glendale Ave
Glendale, AZ 85301"
8p1hx2a-GYQAhQzP5F7yDQ,Burger King,American (Traditional);Fast Food;Restaurants,1.5,Las Vegas,"10880 W Charleston Blvd
Summerlin
Las Vegas, NV 89135"
xH5axHFadmc7Veutt376TA,McDonald's,Burgers;Fast Food;Restaurants,1.5,Phoenix,"545 E McDowell Rd
Phoenix, AZ 85004"
TRhuiVSzrjveulJaH5lgow,Burger King,Burgers;Fast Food;Restaurants,1.5,Mesa,"2024 E Southern Ave
Mesa, AZ 85204"
saDJPEJvnionK0PZwSF9FA,Burger King,Burgers;Fast Food;Restaurants,1.5,Gilbert,"695 S Val Vista Dr
Gilbert, AZ 85296"
3fWX1wBJDsDiMsFZ1iFzyA,McDonald's,Burgers;Fast Food;Restaurants,1.5,Surprise,"14553 W Grand Ave
Surprise, AZ 85374"
Y3jVDgLRULH52M4_fXQOug,McDonald's,Burgers;Fast Food;Restaurants,1.5,Henderson,"65 S Valle Verde Dr
Henderson, NV 89012"
70B09fJOw9shYxwEoFdrPg,McDonald's,Burgers;Fast Food;Restaurants,1.5,North Las Vegas,"1406 W Craig Rd
North Las Vegas, NV 89032"
MR3-Ll-hoUGZMA-B1MTgGQ,Wendy's,Burgers;Fast Food;Restaurants,1.5,Las Vegas,"1725 W Charleston Blvd
Downtown
Las Vegas, NV 89102"
q8R86OehdNa5fQ9ssu3STg,McDonald's,Burgers;Fast Food;Restaurants,1.5,Mesa,"1460 W. Southern Ave.
Southern and Longmore
Mesa, AZ 85202"
G4lspZyt7AJx2c3711MaPQ,McDonald's,Burgers;Fast Food;Restaurants,1.5,Mesa,"6748 E McKellips Rd
Mesa, AZ 85215"
#NAME?,McDonald's,Burgers;Fast Food;Restaurants,1.5,Chandler,"990 N Arizona Ave
Chandler, AZ 85225"
EcVXqM7yZZeOO6jrLR-_xA,Carl's Jr Restaurants,Burgers;Fast Food;Restaurants,1.5,Las Vegas,"6960 W Tropicana Avenue
Spring Valley
Las Vegas, NV 89147"
KPffNxenVXEbKeSeC-zmfQ,McDonald's,Burgers;Fast Food;Restaurants,1.5,Phoenix,"650 E Bell Rd
Phoenix, AZ 85022"
6dLJtcFfD2kBbrOd42KHsQ,McDonald's,Burgers;Fast Food;Restaurants,1.5,Las Vegas,"2640 E Tropicana Ave
Eastside
Las Vegas, NV 89121"
VQAEtwQaWZPlEDTkBS7G3g,McDonald's,Burgers;Fast Food;Restaurants,1.5,Las Vegas,"10590 Southern Highlands Pkwy
Southwest
Las Vegas, NV 89141"
TTwSbXCOr60ozQoz48mJew,Kfc,Burgers;Fast Food;Restaurants,1.5,Las Vegas,"5940 Spring Mountain Rd
Chinatown
Las Vegas, NV 89146"
TfW-f8ZtkS5XpIWe9GNZ1g,Wendy's,Burgers;Fast Food;Restaurants,1.5,Las Vegas,"4400 W Sahara Ave
Westside
Las Vegas, NV 89102"
qlgAl9biUkK1wvmJ4ggDFg,McDonald's,Burgers;Fast Food;Restaurants,1.5,Phoenix,"10230 N 32nd St
Phoenix, AZ 85028"
-3fmY6IhikhUQXpiaLgxHA,McDonald's,Burgers;Fast Food;Restaurants,1.5,Cottage Grove,"401 W Cottage Grove Rd
Cottage Grove, WI 53527"
