name,categories,business_id,stars,city,text,stars
"Eric Goldberg, MD","Doctors;Health & Medical",vcNAWiLM4dR7D2nwwJ7nCA,3.5,Phoenix,"dr. goldberg offers everything i look for in a general practitioner.  he's nice and easy to talk to without being patronizing; he's always on time in seeing his patients; he's affiliated with a top-notch hospital (nyu) which my parents have explained to me is very important in case something happens and you need surgery; and you can get referrals to see specialists without having to see him first.  really, what more do you need?  i'm sitting here trying to think of any complaints i have about him, but i'm really drawing a blank.",5
"Eric Goldberg, MD","Doctors;Health & Medical",vcNAWiLM4dR7D2nwwJ7nCA,3.5,Phoenix,"Unfortunately, the frustration of being Dr. Goldberg's patient is a repeat of the experience I've had with so many other doctors in NYC -- good doctor, terrible staff.  It seems that his staff simply never answers the phone.  It usually takes 2 hours of repeated calling to get an answer.  Who has time for that or wants to deal with it?  I have run into this problem with many other doctors and I just don't get it.  You have office workers, you have patients with medical needs, why isn't anyone answering the phone?  It's incomprehensible and not work the aggravation.  It's with regret that I feel that I have to give Dr. Goldberg 2 stars.",2
"Eric Goldberg, MD","Doctors;Health & Medical",vcNAWiLM4dR7D2nwwJ7nCA,3.5,Phoenix,"Dr. Goldberg has been my doctor for years and I like him.  I've found his office to be fairly efficient.  Today I actually got to see the doctor a few minutes early!  

He seems very engaged with his patients and his demeanor is friendly, yet authoritative.    

I'm glad to have Dr. Goldberg as my doctor.",4
"Eric Goldberg, MD","Doctors;Health & Medical",vcNAWiLM4dR7D2nwwJ7nCA,3.5,Phoenix,"Been going to Dr. Goldberg for over 10 years. I think I was one of his 1st patients when he started at MHMG. He's been great over the years and is really all about the big picture. It is because of him, not my now former gyn Dr. Markoff, that I found out I have fibroids. He explores all options with you and is very patient and understanding. He doesn't judge and asks all the right questions. Very thorough and wants to be kept in the loop on every aspect of your medical health and your life.",4
"Eric Goldberg, MD","Doctors;Health & Medical",vcNAWiLM4dR7D2nwwJ7nCA,3.5,Phoenix,"Got a letter in the mail last week that said Dr. Goldberg is moving to Arizona to take a new position there in June.  He will be missed very much.  

I think finding a new doctor in NYC that you actually like might almost be as awful as trying to find a date!",4
"Eric Goldberg, MD","Doctors;Health & Medical",vcNAWiLM4dR7D2nwwJ7nCA,3.5,Phoenix,"I don't know what Dr. Goldberg was like before  moving to Arizona, but let me tell you, STAY AWAY from this doctor and this office. I was going to Dr. Johnson before he left and Goldberg took over when Johnson left. He is not a caring doctor. He is only interested in the co-pay and having you come in for medication refills every month. He will not give refills and could less about patients's financial situations. Trying to get your 90 days mail away pharmacy prescriptions through this guy is a joke. And to make matters even worse, his office staff is incompetent. 90% of the time when you call the office, they'll put you through to a voice mail, that NO ONE ever answers or returns your call. Both my adult children and husband have decided to leave this practice after experiencing such frustration. The entire office has an attitude like they are doing you a favor. Give me a break! Stay away from this doc and the practice. You deserve better and they will not be there when you really need them. I have never felt compelled to write a bad review about anyone until I met this pathetic excuse for a doctor who is all about the money.",1
"Eric Goldberg, MD","Doctors;Health & Medical",vcNAWiLM4dR7D2nwwJ7nCA,3.5,Phoenix,"Top notch doctor in a top notch practice. Can't say I am surprised when I was referred to him by another doctor who I think is wonderful and because he went to one of the best medical schools in the country. 
It is really easy to get an appointment. There is minimal wait to be seen and his bedside manner is great.",5
"Eric Goldberg, MD","Doctors;Health & Medical",vcNAWiLM4dR7D2nwwJ7nCA,3.5,Phoenix,"Dr. Eric Goldberg is a fantastic doctor who has correctly diagnosed every issue that my wife and I have had. Unlike many of my past doctors, Dr. Goldberg is very accessible and we have been able to schedule appointments with him and his staff very quickly. We are happy to have him in the neighborhood and look forward to being his patients for many years to come.",5
"Pine Cone Restaurant",Restaurants,JwUE5GmEO-sH1FuwJgKBlQ,4,"De Forest","Pretty good dinner with a nice selection of food. Open 24 hours and provide nice service. I usually go here after a night of partying. My favorite dish is the Fried Chicken Eggs Benedict.",4
"Pine Cone Restaurant",Restaurants,JwUE5GmEO-sH1FuwJgKBlQ,4,"De Forest","Good truck stop dining at the right price. We love coming here on the weekends when we don't feel like cooking.",4
"Pine Cone Restaurant",Restaurants,JwUE5GmEO-sH1FuwJgKBlQ,4,"De Forest","If you like lot lizards, you'll love the Pine Cone!",4
"Pine Cone Restaurant",Restaurants,JwUE5GmEO-sH1FuwJgKBlQ,4,"De Forest","Enjoyable experience for the whole family. The wait staff was courteous and friendly; the food was reasonably priced and a good value. A word of advice--LEAVE ROOM FOR DESSERT! the deserters are great but huge! Plan to bring some home",4
"Pine Cone Restaurant",Restaurants,JwUE5GmEO-sH1FuwJgKBlQ,4,"De Forest","One of my favorite truck stop diners with solid food and friendly, quick service. My god, those desserts are huge! I can't imagine eating that giant cream puff. 
All the food we had was delicious and I love how they leave a carafe of coffee on the table. Love this place. Would definitely be back if I was in the area!",4
"Pine Cone Restaurant",Restaurants,JwUE5GmEO-sH1FuwJgKBlQ,4,"De Forest","Only went here once about a year and a half ago, but they had great pancakes! My only problem with it at the time was that they allowed smoking, so I left smelling like a cigarette. With the change in law, I'm sure the atmosphere has improved!",4
"Pine Cone Restaurant",Restaurants,JwUE5GmEO-sH1FuwJgKBlQ,4,"De Forest","Yeah, thats right a five freakin star rating.  

Five Star Truck Stop Dining At Its Finest.

Be prepared to eat.  

I was first introduced to the Pine Cone at its Johnson Creek location years ago and freaked out at the size of the awesome, delicious desserts.   Then on a recent road trip someone mentioned about eating at the Pine Cone, I thought is there really more than one?  I looked out the window to see exactly where we were at and it wasn't near Johnson Creek -- when we arrived, and I saw the bakery....I knew I was home.

It was near dinner time so I ordered stuffed chicken breast.  The dinner roll alone is a meal.  I can't say enough about dinner.  Everything is homemade. They don't add alot of salt, if any.  You can tell its fresh.  Its plentiful.  Its cheap.  You literally can stuff yourself for next to nothing.

You can't possibly leave this place without indulging on some bakery goods to take home, IF they can make it home.  In our case, they were safely packed in the trunk for our safety and yours.  The last thing we need to explain to the police is we were under the influence of bakery goods from the Pine Cone.",5
"Pine Cone Restaurant",Restaurants,JwUE5GmEO-sH1FuwJgKBlQ,4,"De Forest","Ate a Saturday morning breakfast at the Pine Cone.  Friendly,quick service, normal prices.  But for the new year - the special was all-you-can-eat pancakes for $2.12, I added a breakfast sausage patty ($3.00).  Father had the typical, two eggs, toast, hash-bowns (seem fresh cut), sausage links.  Food was tasty, no major qualms other than - the hash-browns need a bit more cooking and the coffee needs a bit more bite.

very nice assortment of bakes goods - massive - as large as your head cream-puffs, eclairs - I took a blueberry muffin to go - which I enjoyed.  

Quick exit from I-94...just northeast of  Madison",3
"Pine Cone Restaurant",Restaurants,JwUE5GmEO-sH1FuwJgKBlQ,4,"De Forest","Attention fans of David Lynch.  Do stop by this place.  The atmosphere, staff and patrons will certainly help to make your visit enjoyable.
Last time I was here I ordered the caramel nut covered cinnamon roll.  The waitress asked if I wanted it warmed with some butter.   I thought that sounded even better and said to go ahead and do that.  She nodded agreement.  Then when she brought it to me it was unheated and no butter.   Odd but also kind of humorous.  I always enjoy being in a David Lynch film from time to time.
The service and food is way better than the country restaurant just a mile south on 51.  Be sure to go here instead.   Their booths are made for skinny people from the 50s.   take a table.  start a conversations with the truck driver to your left. 
We used to go to the Pine Cone when it was across the street.  Must be hard times for these guys because the interior appears to be older than what they had when they were on the other side of the street.   That place now sits empty.   Why is this area depressed?   Don't ask me, I don't know.  Do I look like I have all the answers?
The food here is good and the prices are cheap.   Go here for a nice meal and a flash back to the past and don't forget to take home some bakery.  Or if you aren't hungry just stop by for some great baked goods.    Well worth the stop.
This place gets four stars because of their five star bakery selection.  Crazy big cinnamon rolls and good prices.",4
"Pine Cone Restaurant",Restaurants,JwUE5GmEO-sH1FuwJgKBlQ,4,"De Forest","i rarely give five star reviews but for what this restaurant is, it's pretty perfect.  i've only eaten breakfast here (twice in the last three weeks) and the eggs are cooked perfectly, the sourdough toast is made in the kitchen and is delicious, and the bacon was perfectly crispy.  the hashbrowns are the best i've had in a long time - perfectly crispy on the outside and fluffy inside.  the pancakes are huge and light and amazing.  the cinnamon rolls taste just as good as they look.

prices are right on, baked goods are pretty great.  service is fast and friendly - really fast.  i haven't had to wait more than 5 minutes to get my meal.  i might be in the honeymoon phase, but perfectly cooked poached eggs or over easy eggs are hard to come by!  it shouldn't be an anomaly to discover well cooked food, but i suppose it is.  sure it's a "greasy spoon"" but how many greasy spoons bake their own bread?  can't recommend this place enough for great breakfasts."",5
"Pine Cone Restaurant",Restaurants,JwUE5GmEO-sH1FuwJgKBlQ,4,"De Forest","With a recent addition of a truck driver for a BF I have found myself frequenting truck stops to dine. This little place is quite a pleasant surprise. Basically it is just great home cooking. Everything is homemade and quite good. The baked goods in the front counter were amazing. The size of the cinnamon rolls was insane. And of course I couldn't leave without a piece of pie.",4
"Pine Cone Restaurant",Restaurants,JwUE5GmEO-sH1FuwJgKBlQ,4,"De Forest","This is one of the best breakfasts I have had! Is the decor dated? Absolutely but it just adds to the nostalgic charm! The place just reeks of beef cooking... Ahhh delicious! Check out the pastry cases!!!! OMG, is all I have to say!",4
"Pine Cone Restaurant",Restaurants,JwUE5GmEO-sH1FuwJgKBlQ,4,"De Forest","hands down one of the best breakfasts my wife and i have had. stopped in here based on the positive reviews from fellow yelpers and was sure glad i did. 

this is a good sized diner at a truck stop. the first thing that caught our eye was the pastries - they were all huge and all looked great. tip - be sure to save space for at least one. 

i went with the cinnamon roll french toast and was very pleased. very large portion and great taste - go witht the sausage patty over the links. people behind us had links on their plate and they didnt look too appetzing. the patty was good. 

wife went with a chicken friend steak, eggs, and hashbrowns. hashbrowns left a bit to desire but they get bonus points for being real potatoes and fresh. 

overall, great experience and we were in and out in 35 mins so we could continue out journey. looking forward to stopping here again sometime soon.",5
"Pine Cone Restaurant",Restaurants,JwUE5GmEO-sH1FuwJgKBlQ,4,"De Forest","This is definitely not your usual truck stop. Pastries look delicious. Dinner rolls are large enough for a meal themselves and good!  We had a young waitress who I think was new. We found her to be sweet, polite and trying very hard. The lady managing the restaurant was really rude to her. We could all hear it.",3
